"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"T",41,41,1002243,"1","2","2","7","1","4","1","1","1","2","2"
"T",62,44,2047032,"1","2","2","7","1","1","1","1","1","2","2"
"N",51,32,1295000,"1","2","2","7","1","4","1","1","2","0","2"
"N",71,63,2063333,"1","2","6","7","6","4","1","3","2","0","2"
"T",45,41,850000,"1","2","2","7","1","4","1","1","2","2","2"
"T",59,56,1625000,"1","2","6","7","1","4","3","1","2","2","0"
"T",73,69,4569000,"1","2","6","4","1","4","1","1","3","2","0"
"N",61,62,2266666,"1","2","6","4","1","4","1","1","2","2","0"
"T",66,63,1408333,"1","2","6","4","6","4","3","3","2","0","0"
"N",77,66,1906666,"1","2","6","4","6","4","1","1","2","0","0"
"T",63,63,5083333,"2","1","6","4","4","1","1","1","3","2","2"
"T",65,58,400000,"1","2","6","4","1","4","1","1","3","2","0"
"N",82,84,141666,"1","2","6","4","4","4","1","1","3","0","0"
"T",50,37,1500000,"1","2","2","4","4","4","1","3","2","0","2"
"T",53,49,550000,"1","2","2","4","1","2","1","1","2","0","0"
"T",38,29,858000,"1","2","2","4","1","4","1","1","3","2","2"
"T",59,59,0,"1","2","2","4","5","4","1","0","1","0","0"
"T",47,38,1064000,"2","1","6","4","4","5","1","1","1","2","0"
"T",29,23,600000,"1","2","2","4","1","4","3","3","1","2","2"
"N",59,59,150000,"1","2","6","4","2","4","1","0","1","0","0"
"T",47,42,600000,"1","2","6","4","1","4","1","1","1","2","2"
"T",45,53,2000000,"2","1","2","4","4","1","1","1","1","2","0"
"T",53,53,1600000,"1","2","6","4","1","1","1","1","1","0","2"
"T",56,59,70000,"2","1","2","4","4","1","1","1","1","2","0"
"T",69,57,0,"1","2","6","4","2","4","0","1","1","0","0"
"N",59,59,320000,"1","2","6","4","1","4","1","1","1","0","0"
"T",28,27,700000,"1","2","6","4","1","4","1","1","1","2","2"
"T",37,45,0,"1","2","6","4","2","4","1","1","1","2","2"
"T",52,40,908333,"2","1","2","4","4","1","1","1","1","2","0"
"T",37,31,976616,"1","2","2","4","1","4","1","3","1","2","2"
"T",35,47,300000,"2","1","2","4","4","1","1","1","1","0","0"
"N",73,62,0,"1","2","6","4","5","4","1","1","1","0","0"
"N",61,33,360000,"1","2","1","3","1","4","1","1","2","0","0"
"T",66,64,2016666,"1","2","6","3","6","1","1","1","2","2","2"
"N",68,65,3300000,"1","2","2","3","6","4","1","3","3","2","2"
"T",61,55,733333,"1","2","2","3","1","4","1","1","2","0","2"
"N",73,80,910000,"1","2","2","3","6","5","1","1","2","0","0"
"T",55,46,1350000,"1","2","2","3","1","1","1","1","2","0","0"
"T",45,34,800000,"1","2","2","3","1","4","1","1","2","1","2"
"T",45,37,880000,"1","2","2","3","1","4","1","1","2","0","0"
"T",37,27,1574666,"1","2","2","3","1","4","3","1","2","2","2"
"T",32,37,1007333,"2","1","2","3","4","1","1","3","2","2","2"
"T",32,35,800000,"2","1","2","3","4","1","1","1","2","2","0"
"N",60,59,16666,"1","2","2","3","6","4","1","1","2","0","0"
"T",75,69,828200,"1","2","6","3","5","4","1","1","2","0","0"
"T",36,33,2925533,"1","2","2","3","1","1","1","3","2","1","2"
"T",34,35,2465000,"1","2","2","3","1","1","1","3","2","2","2"
"N",24,26,1018700,"2","1","1","3","3","1","3","3","2","2","2"
"N",88,80,0,"1","2","6","3","6","4","1","1","1","0","0"
"N",59,64,480000,"2","1","6","3","4","1","1","1","1","0","0"
"N",59,59,400000,"1","2","6","3","1","4","1","1","1","0","2"
"T",32,32,600000,"2","1","2","3","1","1","1","1","1","2","0"
"T",24,31,2200000,"2","1","6","3","1","1","1","1","1","2","2"
"T",60,60,2469000,"1","2","6","3","1","5","1","3","2","2","0"
"T",49,41,625000,"1","2","2","3","1","4","1","1","1","2","0"
"T",68,67,0,"1","2","6","3","4","4","1","1","1","2","2"
"N",78,53,18516666,"1","2","2","3","1","1","1","1","1","0","0"
"T",55,22,10828116,"1","2","2","3","1","4","1","1","2","2","1"
"T",41,33,0,"1","2","2","3","2","4","1","1","1","0","0"
"T",64,53,2199468,"1","2","2","3","1","4","1","1","0","0","0"
"T",59,50,3964416,"1","2","6","3","1","1","3","3","1","2","2"
"T",60,66,600098,"2","1","6","3","1","1","1","1","1","2","0"
"N",45,39,0,"1","2","1","3","4","4","1","1","1","0","0"
"N",72,67,918791,"1","2","6","3","6","4","1","1","2","0","0"
"N",69,55,930467,"1","2","6","3","5","1","1","1","2","0","0"
"T",53,48,2570000,"1","2","6","3","1","1","2","1","5","2","2"
"N",65,69,4294782,"2","1","6","3","4","4","3","1","3","2","0"
"T",40,34,5500000,"1","2","2","3","1","1","3","3","4","2","2"
"T",63,73,897125,"2","1","6","3","4","6","1","1","3","0","0"
"T",72,32,1049316,"1","2","6","3","4","1","1","1","3","2","2"
"T",52,48,8791666,"1","2","6","3","1","1","3","3","3","2","2"
"T",49,49,862616,"2","1","6","3","4","1","1","1","3","2","2"
"T",93,77,116666,"1","2","1","3","5","4","1","1","5","0","0"
"T",71,72,98,"2","1","6","3","4","5","1","1","5","0","0"
"T",68,70,800000,"1","2","6","3","1","4","1","1","4","0","2"
"N",34,33,4116666,"1","2","6","3","1","1","3","3","5","2","2"
"T",30,26,1078833,"1","2","6","6","1","4","3","3","2","2","2"
"T",64,80,1250000,"2","1","6","6","4","4","1","1","2","2","2"
"T",64,58,0,"1","2","2","6","4","4","1","1","2","0","0"
"T",59,56,150000,"1","2","6","6","4","1","1","1","3","0","0"
"T",45,34,900000,"1","2","2","6","1","4","1","1","3","0","2"
"T",57,57,1134166,"2","1","6","6","1","4","3","1","3","0","2"
"T",30,37,1831333,"2","1","6","6","4","1","1","1","3","2","2"
"T",27,42,1328000,"2","1","2","6","1","1","1","1","2","2","2"
"T",28,33,2499333,"1","2","1","6","1","1","3","3","3","2","2"
"T",34,23,862624,"1","2","2","6","1","4","1","1","1","2","2"
"T",45,33,1424500,"1","2","2","6","1","1","1","1","1","2","2"
"T",56,60,1035174,"1","2","2","6","1","1","1","0","1","0","0"
"T",34,26,1942000,"1","2","2","6","1","1","1","1","1","2","2"
"T",46,39,500000,"1","2","2","6","1","4","1","1","1","0","2"
"T",21,20,400000,"2","1","1","6","4","1","3","3","1","0","2"
"T",25,22,503333,"1","2","2","6","2","4","1","0","1","2","2"
"N",56,57,1120166,"1","2","2","6","4","1","1","1","3","0","0"
"N",66,76,0,"2","1","6","6","4","6","1","1","3","0","0"
"T",61,64,1083333,"2","1","2","6","4","1","1","1","2","2","0"
"T",40,41,1533333,"1","2","6","6","1","4","1","1","3","2","2"
"N",61,62,3478000,"1","2","6","6","1","4","3","1","3","2","2"
"T",55,64,1100000,"2","1","6","6","1","6","1","1","3","2","0"
"T",50,49,450000,"1","2","2","9","2","4","0","1","1","2","0"
"T",65,49,100000,"1","2","2","9","1","5","1","1","2","0","0"
