"Hijos","Edad.Jefe","Ingresos.totales","Sexo.Jefe","Region","Trabajo.Jefe","Edu.Jefe","Uso.tecnologia.Jefe","Estrato.vivienda","Tipo.Union"
"N",54,2583333,"2","9","1","3","0","1","4"
"N",58,1800000,"2","9","1","1","0","1","5"
"T",28,2300000,"2","9","1","3","2","1","5"
"N",58,7118333,"2","9","1","3","2","1","5"
"N",51,2216666,"2","9","1","3","2","1","4"
"T",46,1000000,"2","9","4","1","2","1","5"
"N",42,2692500,"1","9","1","3","2","1","2"
"N",63,8333,"2","9","4","1","0","1","3"
"T",42,1400000,"2","9","1","1","0","0","4"
"T",45,500000,"2","9","1","1","0","1","4"
"T",75,155000,"2","9","4","1","0","1","5"
"N",66,0,"2","9","4","1","0","1","3"
"T",54,900000,"2","9","1","1","0","1","5"
"T",38,1000000,"2","9","1","1","2","1","5"
"N",47,1000000,"1","9","1","1","0","1","5"
"N",32,0,"1","9","4","1","2","1","5"
"N",72,0,"1","9","4","1","0","1","5"
"N",56,500000,"1","9","1","3","2","1","6"
"T",43,500000,"2","9","1","0","0","1","4"
"N",68,0,"2","9","4","0","0","1","3"
"T",65,16666,"2","9","4","1","0","1","6"
"N",44,1000000,"1","9","1","1","2","1","5"
"T",31,1300000,"2","9","1","3","2","2","5"
"T",51,100000,"2","9","4","1","0","1","4"
"T",46,1750000,"2","9","1","2","2","1","3"
"N",45,959500,"1","9","1","1","0","1","5"
"N",22,828000,"2","9","2","3","2","1","5"
"T",37,840000,"1","9","1","0","0","1","5"
"N",20,828000,"2","9","1","3","2","1","5"
"T",69,700000,"1","9","2","1","0","2","3"
"T",35,850000,"2","9","4","1","2","2","6"
"N",76,308333,"2","9","6","0","0","2","5"
"N",29,828116,"1","9","2","3","2","1","5"
"N",71,360000,"2","9","4","0","0","1","3"
"N",23,2270365,"1","9","1","3","2","1","5"
"N",38,400000,"1","9","1","1","0","1","2"
"T",39,1250000,"2","9","1","3","2","1","4"
"N",28,3000000,"2","9","1","3","2","2","5"
"N",64,816666,"1","9","1","1","2","2","3"
"N",27,4298000,"2","9","1","3","2","2","5"
"T",65,3070000,"2","9","1","1","2","1","6"
"N",69,700000,"2","9","1","1","0","2","3"
"N",30,0,"2","9","2","3","2","1","5"
"N",47,4830000,"1","9","1","3","2","1","6"
"N",22,500000,"1","9","1","3","2","1","5"
"N",23,500000,"1","9","1","1","2","1","5"
"N",22,1500000,"1","9","1","3","2","1","5"
"T",36,300000,"2","9","1","1","2","2","6"
"N",38,1000000,"1","9","1","3","2","2","4"
"T",39,186666,"2","9","1","3","0","1","3"
"T",50,300000,"2","9","1","1","0","1","4"
"N",73,400000,"2","9","1","1","0","1","4"
"N",47,1500000,"1","9","1","1","2","2","4"
"N",66,25000,"2","9","4","0","0","1","3"
"N",26,3236666,"1","9","1","3","2","1","5"
"N",69,208333,"2","9","1","1","0","1","3"
"N",77,25000,"1","9","6","0","0","1","4"
"T",28,828116,"2","9","1","3","2","1","6"
"T",22,250000,"2","9","1","3","0","1","5"
"N",40,375000,"1","9","1","0","0","1","4"
"N",75,0,"1","9","6","1","0","1","4"
"N",24,500000,"2","9","1","3","2","2","2"
"N",62,1600000,"1","9","1","1","0","1","4"
"N",35,3316666,"2","9","1","3","2","1","5"
"N",39,1500000,"1","9","1","3","2","1","5"
"T",24,400000,"2","9","6","3","2","2","1"
"N",18,502500,"1","9","1","1","2","1","5"
"N",21,700000,"1","9","1","1","0","1","5"
"N",60,308083,"1","9","1","1","0","1","6"
"N",53,1833333,"1","9","1","3","0","2","2"
"N",63,700000,"1","9","1","1","0","1","2"
"N",51,422166,"2","9","4","1","0","1","5"
"N",69,0,"1","9","1","1","0","1","6"
"N",61,300000,"2","9","1","1","0","1","6"
"N",39,550000,"1","9","1","1","0","1","4"
"N",76,300000,"2","9","4","1","0","0","3"
"N",65,41666,"2","9","4","1","0","1","3"
"N",72,200000,"1","9","6","1","0","1","5"
"N",34,5023333,"1","9","1","3","2","1","5"
"N",66,400000,"1","9","1","1","0","2","3"
"N",16,0,"1","9","3","3","0","1","5"
"N",55,120000,"1","9","1","1","0","1","4"
"N",19,66666,"2","1","3","3","2","2","5"
"N",79,1052000,"2","1","5","1","0","2","4"
"T",28,4166,"2","1","2","3","2","1","4"
"N",63,41666,"2","1","4","1","2","3","5"
"T",72,3900000,"2","1","5","1","2","3","3"
"N",59,4820833,"2","1","1","3","2","3","4"
"T",64,25000,"1","1","4","1","0","1","4"
"T",51,1251544,"2","1","1","1","2","1","4"
"N",60,483333,"1","1","1","1","2","1","4"
"N",49,1900000,"2","1","6","3","2","1","5"
"N",25,724916,"1","1","2","1","1","1","5"
"N",65,1600000,"2","1","1","1","0","1","5"
"N",25,70000,"1","1","1","1","2","1","4"
"T",34,600000,"2","1","1","1","1","1","4"
"T",32,316666,"2","1","1","1","2","2","4"
"N",27,1514500,"1","1","1","1","2","2","5"
"N",71,25000,"2","1","4","1","0","1","4"
"T",61,600000,"1","1","1","1","2","1","4"
"T",47,200000,"2","1","1","1","0","0","4"
"T",72,0,"2","1","4","0","0","1","4"
"T",31,400000,"2","1","4","1","2","1","6"
"T",27,80000,"2","1","4","1","2","1","2"
"T",73,20000,"2","1","4","0","0","1","3"
"N",67,600000,"1","1","1","1","0","0","3"
"T",63,0,"2","1","4","1","0","1","4"
"T",69,0,"2","1","4","1","0","1","4"
"T",84,0,"2","1","5","1","0","1","3"
"T",53,0,"2","1","4","1","0","1","3"
"N",46,800000,"2","1","1","3","2","1","5"
"N",61,957000,"1","1","1","2","2","1","2"
"N",70,2491666,"2","1","4","1","2","2","3"
"T",41,41666,"2","1","4","1","2","2","2"
"N",45,2075000,"2","1","1","3","2","2","5"
"N",26,0,"1","1","4","1","2","0","5"
"T",35,258333,"2","1","1","1","0","1","4"
"N",36,800000,"1","1","1","3","2","1","4"
"T",62,8333,"2","1","4","0","0","1","3"
"T",50,240000,"2","1","4","1","0","1","4"
"T",25,400000,"2","1","4","3","2","2","2"
"N",56,680000,"1","1","1","1","0","1","2"
"N",58,300000,"1","1","1","1","0","1","4"
"N",55,4166,"2","1","4","0","0","2","5"
"N",46,8333,"1","1","5","0","0","1","5"
"T",68,0,"2","1","4","0","0","1","5"
"N",41,1325833,"1","1","1","1","0","1","5"
"N",53,200000,"1","1","6","1","0","1","5"
"N",75,0,"2","1","5","0","0","1","3"
"N",49,200000,"1","1","1","1","2","1","5"
"N",65,0,"2","1","4","1","0","1","4"
"T",50,0,"2","1","4","1","0","1","4"
"T",47,400000,"1","1","1","0","0","1","4"
"N",23,212500,"1","1","2","1","0","1","5"
"T",62,100000,"2","1","1","0","0","1","3"
"T",50,300000,"2","1","1","1","0","1","4"
"T",46,800000,"2","1","4","3","2","3","6"
"T",39,98,"2","1","4","3","2","2","4"
"T",52,400000,"2","1","4","1","0","1","6"
"N",19,0,"1","1","3","3","2","3","5"
"N",58,533333,"2","1","1","1","2","3","5"
"N",67,0,"2","1","4","1","0","3","3"
"T",38,1021666,"2","1","1","3","2","2","4"
"T",44,700000,"2","1","1","3","2","2","5"
"N",49,3925000,"1","1","1","3","2","2","5"
"N",31,98,"1","1","1","1","2","3","5"
"T",32,700000,"2","1","1","1","2","2","4"
"T",56,0,"2","1","4","1","2","2","3"
"N",27,1550000,"2","1","1","3","2","2","5"
"T",26,216666,"2","1","4","1","0","1","4"
"T",48,0,"2","1","4","1","0","1","2"
"T",42,300098,"2","1","1","1","0","2","4"
"T",35,90000,"2","1","1","1","2","1","5"
"T",74,150000,"1","1","1","1","1","2","3"
"N",82,500000,"2","1","5","1","0","2","3"
"T",66,133333,"2","1","4","1","0","2","3"
"N",56,400000,"2","1","4","1","0","2","4"
"T",92,0,"2","1","5","0","0","2","5"
"N",23,300000,"2","1","1","3","2","0","4"
"N",61,1567000,"2","1","1","3","2","2","5"
"N",18,800000,"2","1","2","1","2","1","5"
"N",54,2342500,"2","1","1","3","2","2","4"
"N",67,800000,"2","1","4","0","0","2","4"
"T",42,650000,"2","1","1","1","2","1","3"
"T",49,600000,"2","1","1","1","2","1","4"
"N",75,75000,"1","1","4","1","0","1","3"
"T",54,33333,"2","1","4","3","0","1","6"
"N",61,200000,"2","1","1","1","0","2","4"
"N",50,341666,"2","1","1","1","0","2","4"
"N",60,240000,"2","1","1","1","0","2","4"
"N",42,1258333,"1","2","1","3","2","6","5"
"N",55,1062500,"1","2","1","1","2","6","6"
