Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7166517-1;0;1;5;57;3;1;2;1;430000;0;1;1;2;1;11500;0
7166519-1;0;1;3;75;3;1;3;6;300000;0;1;1;3;1;17000;1
7166521-1;0;2;4;61;3;2;2;4;507833;0;0;1;3;2;15000;0
7166522-1;0;2;3;77;3;2;2;4;386666;0;0;1;3;2;50000;2
7166524-1;1;2;4;58;3;2;2;1;680000;0;0;1;2;2;25000;0
7166525-1;0;2;4;53;3;1;2;4;16666;2;1;1;2;1;0;0
7166528-1;0;1;5;50;3;1;2;1;650000;0;1;1;3;1;18000;0
7166535-1;2;2;4;50;3;6;2;4;1760000;0;1;1;4;4;36000;2
7166541-1;0;2;5;59;3;1;3;1;350000;2;1;1;2;1;42000;2
7166543-1;0;1;4;74;3;1;3;1;210000;0;1;1;1;1;0;0
7166544-1;0;2;4;58;3;2;3;1;500000;2;1;1;5;2;95000;2
7166546-1;1;2;3;59;3;3;3;4;1173500;2;1;1;4;3;92000;2
7166547-1;0;2;4;67;3;1;3;1;350000;2;1;1;3;1;66000;1
7166555-1;1;2;3;66;3;2;2;4;1230000;0;1;1;3;2;22500;0
7166572-1;2;2;4;57;3;3;1;4;1500000;0;1;2;3;3;25000;0
7166573-1;0;1;4;41;3;3;2;1;1800000;0;1;1;4;2;18500;0
