Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7121963-1;0;1;2;2;1;6;66;80;2;1;3;6;6;0;0;1;1;
7121964-1;1;1;2;;;5;58;;2;1;3;4;;2;;1;;
7121966-1;1;1;2;;;3;96;;2;1;3;5;;0;;1;;
7121967-1;0;1;2;;;5;41;;2;1;3;1;;2;;3;;
7121967-2;0;1;2;;;5;18;;2;1;3;3;;2;;3;;
7121968-1;1;1;2;;;5;37;;2;1;3;4;;2;;1;;
7121969-1;2;1;2;;;5;36;;2;1;3;1;;2;;3;;
7121970-1;0;1;2;;;3;60;;2;1;2;4;;0;;1;;
7121971-1;0;1;2;;;3;82;;2;1;2;4;;0;;1;;
7121972-1;0;1;1;;;4;62;;2;1;2;1;;0;;1;;
7121973-1;0;1;2;;;5;54;;2;1;2;1;;0;;1;;
7121974-1;0;1;1;2;2;2;69;51;2;1;2;4;4;0;0;1;1;
7121975-1;0;1;1;2;2;2;61;59;2;1;2;1;4;0;0;1;1;
7121976-1;0;1;1;2;2;2;56;49;2;1;2;1;4;2;2;1;1;
7121977-1;0;1;1;2;2;2;60;58;2;1;2;1;1;0;0;3;1;
7121978-1;2;1;1;2;2;6;47;43;2;1;2;6;1;2;2;3;3;
7121979-1;0;1;1;;;4;63;;2;1;2;6;;2;;1;;
7121980-1;0;1;1;;;1;76;;2;1;2;1;;0;;1;;
7121981-1;1;1;1;2;2;2;29;26;2;1;2;1;4;0;0;1;1;
7121982-1;0;1;2;;;6;68;;2;1;2;4;;0;;1;;
7121983-1;3;1;1;2;2;6;43;47;2;1;2;1;1;2;2;3;3;
7121984-1;0;1;2;;;4;58;;2;1;2;1;;0;;1;;
7121985-1;1;1;1;2;2;6;48;35;2;1;2;1;4;2;2;3;1;
7121987-1;3;1;1;2;2;1;47;37;2;1;2;1;4;0;1;1;1;
7121989-1;2;1;2;;;4;42;;2;1;2;1;;0;;1;;
7121989-2;0;1;1;;;5;42;;2;1;2;1;;0;;1;;
7121990-1;0;1;2;;;4;62;;2;1;2;4;;0;;1;;
7121992-1;2;1;1;2;2;2;41;37;2;1;3;1;3;2;2;3;3;
7121993-1;1;1;2;;;4;52;;2;1;3;1;;2;;3;;
7121995-1;1;1;2;2;1;2;41;47;2;1;2;1;1;0;0;1;1;
7121997-1;2;1;1;2;2;6;36;36;2;1;2;2;2;2;2;1;1;
7122001-1;0;1;2;2;1;6;59;58;2;1;2;4;2;2;2;1;1;
7122002-1;1;1;2;;;5;41;;2;1;2;1;;0;;1;;
7122003-1;0;1;1;;;3;85;;2;1;2;4;;0;;3;;
7122004-1;0;1;2;2;1;1;60;48;2;1;2;1;1;0;0;0;0;
7122005-1;1;1;1;2;2;2;27;24;2;1;2;1;4;0;0;1;1;
7122007-1;4;1;1;2;2;1;45;34;2;1;2;1;1;2;2;1;1;
7122008-1;0;1;1;;;5;34;;2;1;2;1;;0;;1;;
7122009-1;0;1;2;;;3;88;;2;1;2;5;;0;;0;;
7122010-1;0;1;2;;;4;63;;2;1;3;4;;2;;2;;
