Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7122397-1;0;1;2;4;56;3;1;2;4;0;0;;;
7122398-1;0;1;2;3;91;3;1;4;6;0;1;;;
7122402-1;1;1;2;3;69;3;1;4;4;0;1;;;
7122404-1;0;1;1;5;38;3;1;3;1;2;1;;;
7122406-1;0;1;1;5;27;3;1;4;2;2;3;;;
7122407-1;0;1;2;3;78;3;1;4;4;0;1;;;
7122409-1;0;1;2;4;59;3;1;5;4;0;1;;;
7122414-1;0;1;2;3;78;3;1;5;6;0;1;;;
7122415-1;2;1;2;3;42;6;1;3;4;2;1;;;
7122417-1;0;1;2;3;79;6;1;2;4;0;1;;;
7122420-1;0;1;1;5;40;6;1;3;1;2;3;;;
7122421-1;3;1;2;3;63;6;1;2;4;0;1;;;
7122423-1;3;1;2;6;42;6;1;3;4;2;1;;;
7122427-1;2;1;2;5;36;6;1;2;4;2;1;;;
7122431-1;0;1;2;5;37;6;1;3;1;2;2;;;
7122433-1;2;1;1;4;44;6;1;1;1;2;3;;;
7122434-1;0;1;2;4;55;6;1;1;1;0;1;;;
7122435-1;0;1;1;5;50;6;1;1;1;0;1;;;
7122437-1;2;1;2;5;55;6;1;1;1;0;1;;;
7122442-1;0;1;1;5;63;6;1;1;6;0;1;;;
7122443-1;0;1;1;5;37;6;1;1;1;0;1;;;
7122444-1;0;1;2;5;71;6;1;1;4;0;0;;;
7122449-1;1;1;2;4;56;6;1;1;1;0;1;;;
7122450-1;1;1;2;5;37;6;1;1;1;0;1;;;
7122451-1;0;1;1;5;67;6;1;3;4;0;1;;;
7122454-1;1;1;2;4;51;6;1;3;1;0;1;;;
7122458-1;1;1;2;5;46;6;1;3;1;2;3;;;
7122462-1;0;1;2;5;31;9;1;2;1;2;3;;;
7122463-1;1;1;1;5;56;9;1;2;1;2;3;;;
7122464-1;0;1;2;5;54;9;1;2;1;0;1;;;
7122466-1;0;1;1;4;42;9;1;2;2;2;3;;;
7122468-1;0;1;1;5;20;9;2; ;4;2;1;;;
7122469-1;2;1;2;4;49;9;1;1;1;2;1;;;
7122470-1;1;1;2;4;43;9;1;1;1;0;1;;;
7122470-2;1;1;2;4;25;9;1;1;1;2;3;;;
7122472-1;0;1;2;3;78;9;1;2;4;0;1;;;
7122473-1;1;1;2;4;32;9;1;2;1;2;3;;;
7122474-1;1;1;2;4;27;9;1;1;1;2;3;;;
7122477-1;2;1;1;4;68;9;1;2;5;0;1;;;
7122479-1;2;1;2;5;59;9;1;1;4;2;1;;;
7122480-1;0;1;2;4;54;9;1;2;4;0;1;;;
7122482-1;3;1;2;4;27;9;1;1;1;0;1;;;
7122486-1;2;1;2;4;32;9;1;1;1;2;3;;;
7122487-1;1;1;2;4;52;9;1;1;1;2;0;;;
7122489-1;0;1;2;3;57;9;1;0;4;0;1;;;
7122490-1;0;1;1;4;78;9;1;1;1;0;1;;;
7122493-1;1;1;2;5;29;9;1;0;4;0;1;;;
7122499-1;1;1;2;4;41;9;1;1;4;0;1;;;
7122501-1;0;1;1;5;66;9;1;0;5;0;1;;;
7122502-1;0;1;2;4;46;9;1;1;4;0;1;;;
7122504-1;0;1;1;2;72;9;1;1;6;0;0;;;
7122508-1;2;1;2;4;28;9;1;1;4;0;1;;;
7122510-1;0;1;2;3;66;9;1;1;4;0;1;;;
7122517-1;0;1;2;3;84;9;1;1;4;0;1;;;
7122521-1;0;1;2;3;82;9;1;2;5;0;0;;;
7122530-1;0;1;1;3;74;9;1;1;4;0;1;;;
7122534-1;1;1;1;4;67;9;1;3;4;0;1;;;
7122537-1;1;1;2;4;58;9;1;1;1;0;1;;;
7122544-1;1;1;2;5;40;9;2; ;1;2;3;;;
7122546-1;3;1;1;3;53;9;1;1;1;2;1;;;
7122555-1;1;1;2;4;61;9;1;2;4;0;1;;;
7122559-1;0;1;1;5;58;9;1;1;4;1;1;;;
7122570-1;0;1;1;5;40;9;1;1;1;0;1;;;
7122573-1;0;1;2;5;45;9;1;1;1;2;3;;;
7122577-1;0;1;2;4;52;9;1;1;1;0;1;;;
7122579-1;0;1;1;5;57;9;1;1;1;0;1;;;
7122587-1;0;1;2;3;79;9;1;1;4;0;1;;;
7122588-1;0;1;1;5;59;9;1;1;1;0;1;;;
7122593-1;0;1;1;5;20;9;1;1;3;2;3;;;
7122594-1;2;1;2;4;44;9;1;1;1;0;1;;;
7122604-1;1;1;1;4;59;9;1;1;4;0;1;;;
7122606-1;0;1;2;5;52;9;1;1;1;0;1;;;
7122607-1;0;1;2;4;61;9;1;1;1;2;1;;;
7122608-1;1;1;2;3;64;9;1;1;4;0;1;;;
7122609-1;0;1;2;2;55;9;1;1;1;0;1;;;
7122610-1;0;1;2;5;33;9;1;1;1;2;3;;;
7122611-1;0;1;2;6;66;9;1;1;4;0;0;;;
7122616-1;1;1;2;5;20;9;1;1;1;0;1;;;
7122622-1;1;1;2;4;38;9;1;1;3;0;1;;;
7122623-1;1;1;2;4;52;9;1;1;4;0;1;;;
7122628-1;0;1;2;4;54;9;1;1;1;0;3;;;
7122632-1;0;1;2;5;58;9;1;1;1;0;1;;;
7122633-1;1;1;2;5;28;9;1;1;1;2;3;;;
7122634-1;0;1;2;5;58;9;1;1;1;2;3;;;
7122635-1;0;1;2;4;51;9;1;1;1;2;3;;;
7122636-1;2;1;2;5;46;9;1;1;4;2;1;;;
7122637-1;0;1;1;2;42;9;1;1;1;2;3;;;
7122650-1;0;1;2;3;63;9;1;1;4;0;1;;;
7122652-1;2;1;2;4;42;9;1;0;1;0;1;;;
7122653-1;0;1;2;4;35;9;2; ;4;0;1;;;
7122654-1;3;1;2;4;45;9;1;1;1;0;1;;;
7122657-1;1;1;2;5;75;9;1;1;4;0;1;;;
7122661-1;0;1;2;3;66;9;1;1;4;0;1;;;
7122664-1;1;1;2;5;54;9;1;1;1;0;1;;;
7122667-1;1;1;2;5;38;9;1;1;1;2;1;;;
7122668-1;0;1;1;5;47;9;1;1;1;0;1;;;
7122670-1;0;1;1;5;32;9;1;1;4;2;1;;;
7122674-1;0;1;1;5;72;9;1;1;4;0;1;;;
7122675-1;0;1;1;6;56;9;1;1;1;2;3;;;
7122677-1;1;1;2;4;43;9;1;1;1;0;0;;;
7122680-1;0;1;2;3;68;9;1;1;4;0;0;;;
7122686-1;1;1;2;6;65;9;1;1;4;0;1;;;
7122688-1;0;1;1;5;44;9;1;1;1;2;1;;;
7122697-1;1;1;2;5;31;9;1;2;1;2;3;;;
7122698-1;1;1;2;4;51;9;1;1;4;0;1;;;
7122699-1;2;1;2;3;46;9;1;1;1;2;2;;;
7122700-1;0;1;1;5;45;9;1;1;1;0;1;;;
7122702-1;0;1;2;5;22;9;1;1;2;2;3;;;
7122703-1;1;1;1;5;37;9;1;1;1;0;0;;;
7122704-1;0;1;2;5;20;9;1;1;1;2;3;;;
7122705-1;1;1;1;3;69;9;1;2;2;0;1;;;
7122706-1;2;1;2;6;35;9;1;2;4;2;1;;;
7122708-1;0;1;2;5;76;9;1;2;6;0;0;;;
7122709-1;0;1;1;5;29;9;1;1;2;2;3;;;
7122710-1;0;1;2;3;71;9;1;1;4;0;0;;;
7122711-1;0;1;1;5;23;9;1;1;1;2;3;;;
7122717-1;0;1;1;2;38;9;1;1;1;0;1;;;
7122718-1;2;1;2;4;39;9;1;1;1;2;3;;;
7122722-1;0;1;2;5;28;9;1;2;1;2;3;;;
7122723-1;0;1;1;3;64;9;1;2;1;2;1;;;
7122724-1;0;1;2;5;27;9;1;2;1;2;3;;;
7122725-1;1;1;2;6;65;9;1;1;1;2;1;;;
7122727-1;0;1;2;3;69;9;1;2;1;0;1;;;
