Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge
7122258-1;0;1;1;;;4;55;
7122259-1;0;1;2;;;3;76;
7122261-1;0;1;2;;;5;24;
7122262-1;0;1;1;;;5;21;
7122263-1;2;1;1;2;2;2;38;29
7122264-1;2;1;2;;;4;68;
7122265-1;1;1;1;2;2;2;59;59
7122268-1;4;1;2;;;4;47;
7122269-1;3;1;2;2;1;6;47;38
7122270-1;2;1;2;;;5;53;
7122271-1;2;1;2;;;5;45;
7122272-1;4;1;2;;;3;61;
7122273-1;2;1;2;;;3;56;
7122274-1;0;1;2;;;5;60;
7122275-1;2;1;2;;;4;53;
7122276-1;2;1;1;2;2;2;29;23
7122277-1;1;1;2;;;5;59;
7122278-1;0;1;1;2;2;6;59;59
7122279-1;2;1;1;2;2;6;47;42
7122281-1;1;1;2;2;1;2;45;53
7122282-1;1;1;2;;;6;38;
7122283-1;2;1;1;2;2;6;53;53
7122284-1;1;1;2;;;4;36;
7122285-1;1;1;2;;;2;35;
7122286-1;1;1;2;2;1;2;56;59
7122287-1;1;1;1;;;4;45;
7122289-1;1;1;2;;;4;35;
7122290-1;2;1;1;2;2;6;69;57
7122291-1;2;1;1;;;4;37;
7122292-1;2;1;2;;;4;51;
7122293-1;1;1;1;;;4;73;
7122294-1;0;1;1;2;2;6;59;59
7122296-1;2;1;2;;;4;49;
7122296-2;2;1;1;2;2;6;28;27
7122297-1;1;1;1;2;2;6;37;45
7122298-1;2;1;2;;;1;44;
7122299-1;3;1;2;2;1;2;52;40
7122300-1;3;1;2;;;2;50;
7122301-1;2;1;1;2;2;2;37;31
7122302-1;3;1;2;;;3;55;
7122303-1;4;1;2;2;1;2;35;47
7122304-1;0;1;1;2;2;6;73;62
7122306-1;1;1;2;;;3;65;
7122307-1;2;1;2;;;3;80;
7122308-1;1;1;2;;;5;46;
7122309-1;0;1;1;2;2;1;61;33
7122310-1;2;1;1;2;2;6;66;64
7122312-1;0;1;1;2;2;2;68;65
7122313-1;1;1;1;2;2;2;61;55
7122314-1;0;1;2;;;5;48;
7122315-1;2;1;2;;;4;48;
7122316-1;0;1;1;2;2;2;73;80
7122317-1;3;1;1;2;2;2;55;46
7122318-1;2;1;1;2;2;2;45;34
7122319-1;1;1;1;;;3;54;
7122320-1;1;1;2;;;4;44;
7122321-1;7;1;1;2;2;2;45;37
7122321-2;0;1;1;;;5;43;
7122321-3;0;1;1;;;5;40;
7122321-4;0;1;1;;;5;16;
7122322-1;0;1;1;;;5;86;
7122323-1;0;1;2;;;5;69;
7122324-1;0;1;2;;;5;52;
7122325-1;2;1;1;2;2;2;37;27
7122326-1;1;1;2;2;1;2;32;37
7122327-1;0;1;2;;;4;48;
7122328-1;1;1;2;;;4;34;
7122329-1;2;1;2;2;1;2;32;35
7122330-1;0;1;1;2;2;2;60;59
7122331-1;2;1;2;;;2;56;
7122332-1;1;1;1;2;2;6;75;69
7122333-1;0;1;1;;;4;34;
7122334-1;1;1;1;2;2;2;36;33
7122335-1;3;1;1;2;2;2;34;35
7122336-1;0;1;2;2;1;1;24;26
7122337-1;0;1;1;2;2;6;88;80
7122338-1;0;1;2;2;1;6;59;64
7122339-1;0;1;1;2;2;6;59;59
7122340-1;2;1;2;2;1;2;32;32
7122342-1;2;1;2;;;4;35;
7122343-1;2;1;2;2;1;6;24;31
7122344-1;1;1;1;2;2;6;60;60
7122345-1;2;1;1;2;2;2;49;41
7122346-1;2;1;1;2;2;6;68;67
7122347-1;0;1;1;2;2;2;78;53
7122349-1;1;1;1;2;2;2;55;22
7122351-1;0;1;1;;;5;34;
7122355-1;0;1;1;;;4;65;
7122356-1;0;1;1;;;5;82;
7122357-1;0;1;1;2;2;2;66;66
7122358-1;3;1;1;2;2;2;41;33
7122359-1;0;1;1;2;2;6;89;87
7122360-1;1;1;1;2;2;2;64;53
7122362-1;0;1;2;;;3;70;
7122363-1;0;1;1;;;5;40;
7122364-1;0;1;1;;;6;87;
7122365-1;3;1;2;;;5;33;
7122366-1;0;1;2;;;5;57;
7122368-1;1;1;1;2;2;6;59;50
7122370-1;1;1;2;2;1;6;60;66
7122371-1;1;1;2;;;6;40;
7122372-1;0;1;2;;;3;76;
7122374-1;0;1;1;2;2;1;45;39
7122375-1;2;1;2;;;3;74;
7122378-1;0;1;2;;;4;59;
7122379-1;0;1;1;2;2;6;72;67
