Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7228932-1;0;1;2;6;71;63;4;2;1;5;4;179166;0;0;1;0;1;4;2;28000;1
7228934-1;0;1;2;2;53;63;4;2;1;1;6;1031666;0;0;0;0;1;2;1;300000;0
7228938-1;2;1;2;2;33;26;4;5;1;4;3;153000;0;0;3;3;2;2;1;30000;0
7228940-1;3;1;2;2;53;30;4;5;1;1;4;1150000;0;0;1;1;1;3;2;10000;0
7228942-1;4;1;2;6;51;42;4;6;1;1;1;325000;0;0;0;0;1;4;3;20000;0
7228944-1;0;1;2;6;76;76;4;2;1;2;4;166666;0;0;1;0;1;4;1;26640;2
7228950-1;2;1;2;2;24;25;4;4;1;1;4;800000;0;0;1;1;1;4;3;20000;2
7228952-1;1;1;2;2;24;32;4;3;1;1;1;515000;2;2;3;1;1;3;2;12600;0
7228954-1;3;1;2;2;23;24;4;4;1;1;4;620583;0;0;1;1;1;4;3;100000;0
7228956-1;1;1;2;2;51;39;4;3;1;1;1;390000;2;2;1;1;1;4;2;56000;3
7228958-1;4;1;2;6;42;29;4;6;1;1;4;3000;0;0;0;1;1;3;2;45000;1
7228960-1;2;1;2;2;38;39;4;4;1;1;1;1800000;0;2;1;1;1;4;3;121000;0
7228962-1;1;2;1;2;53;54;4;4;1;1;1;21480000;2;2;1;1;1;5;4;35000;3
7228966-1;1;2;1;2;37;36;4;3;1;1;1;2003083;2;2;3;3;1;3;2;22000;3
7228976-1;2;2;1;2;36;36;4;5;1;1;1;2953333;0;0;3;3;1;5;4;40000;3
7228978-1;0;1;2;2;36;25;4;2;1;1;3;2325000;2;2;3;3;1;5;1;30000;2
7228980-1;1;1;2;6;81;77;4;7;1;5;5;2172333;0;0;1;0;1;4;3;30000;3
7228983-1;0;1;2;6;64;60;4;2;1;1;4;300000;0;0;2;1;2;4;1;20000;2
7228985-1;0;1;2;6;24;20;4;2;1;1;1;2000000;0;0;1;1;1;4;1;50000;0
7228986-1;2;2;1;2;60;48;4;6;1;1;1;261250;0;0;1;1;1;5;3;12000;0
7228988-1;0;2;1;1;47;35;4;2;1;1;1;1550000;0;0;3;1;1;4;1;10000;0
7228991-1;4;2;1;2;26;28;4;6;1;4;2;137783;0;0;1;1;1;4;3;10000;0
7228992-1;1;1;2;2;75;68;4;5;1;1;4;636666;0;0;1;0;1;5;4;15000;0
7228993-1;2;1;2;2;55;51;4;4;1;2;1;206750;0;0;1;1;1;5;4;11000;0
7228995-1;2;1;2;2;21;16;4;4;1;3;3;98333;0;0;3;0;1;2;1;10000;0
7228996-1;1;2;1;2;57;79;4;3;1;4;1;447000;0;0;3;0;1;4;2;10000;0
7228997-1;0;1;2;2;61;58;4;2;1;1;4;300000;0;0;1;1;1;3;2;11000;0
7228998-1;2;2;1;2;54;66;4;4;1;4;1;330000;0;0;1;0;1;6;5;12000;0
7228999-1;1;1;2;2;26;21;4;3;1;3;4;107500;0;0;3;1;1;3;1;25000;0
7229000-1;5;1;2;2;36;28;4;7;1;1;4;1448666;2;0;3;1;1;4;3;11000;0
7229002-1;1;1;2;2;27;26;4;3;1;1;4;1550000;0;0;3;3;1;2;1;20000;0
7229003-1;0;1;2;2;60;42;4;2;1;1;4;900000;0;0;3;1;1;2;1;20000;0
7229004-1;1;2;1;2;18;20;4;3;1;4;1;330000;0;0;1;1;1;2;1;11000;0
7229005-1;0;1;2;2;21;19;4;2;1;1;4;171666;0;0;1;1;1;1;1;10000;0
7229006-1;1;1;2;2;55;51;4;3;1;1;4;420000;0;0;1;0;1;2;1;10000;0
7229007-1;1;1;2;2;51;29;4;3;1;1;1;573750;0;0;0;0;1;3;2;10000;0
7229008-1;3;1;2;2;32;34;4;5;1;1;4;1895000;2;0;3;0;1;2;1;10000;0
7229009-1;0;1;2;1;20;20;4;2;1;1;3;411666;0;0;1;1;1;1;1;10000;0
7229010-1;1;2;1;2;43;45;4;3;1;4;1;9380000;0;0;1;1;1;2;1;10000;0
7229012-1;0;2;1;2;23;28;4;2;1;4;2;10000000;0;0;1;1;1;4;2;25000;0
7229014-1;1;1;2;2;46;41;4;3;1;1;4;500000;0;0;1;1;1;5;3;45000;0
7229017-1;1;1;2;2;61;24;4;3;1;1;4;900000;0;0;1;1;1;4;3;10000;0
7229020-1;1;2;1;6;52;59;4;3;1;1;4;303750;0;0;0;1;1;5;4;12000;0
7229022-1;2;1;2;2;41;33;4;4;1;1;4;457916;0;0;1;1;1;4;3;20000;0
7229026-1;1;1;2;2;42;34;4;3;1;1;4;350000;0;0;1;1;1;3;2;13000;0
