DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7123775;1;1;1;3;27,0783067484321
7123775;2;1;2;4;27,0783067484321
7123775;3;1;3;5;27,0783067484321
7123775;4;1;4;7;27,0783067484321
7123776;4;1;4;7;27,7513709084798
7123776;1;1;1;3;27,7513709084798
7123776;2;1;2;4;27,7513709084798
7123776;3;1;3;6;27,7513709084798
7123778;2;1;2;4;28,2053234569911
7123778;1;1;1;3;28,2053234569911
7123778;3;1;3;5;28,2053234569911
7123782;1;1;1;2;30,4396706938446
7123782;2;1;2;3;30,4396706938446
7123788;1;1;1;4;22,31559642577
7123788;2;1;2;5;22,31559642577
7123819;1;1;1;2;179,362627949209
7123820;1;1;1;3;78,7855664758454
7123823;1;2;1;2;66,6715536919982
7123823;2;2;2;3;66,6715536919982
7123823;3;2;3;4;66,6715536919982
7123826;1;1;1;2;88,9762142444644
7123834;1;1;1;6;41,6930059120422
7123836;2;1;2;6;44,9080052648438
7123836;1;1;1;5;44,9080052648438
7123842;1;1;1;3;37,4850629317935
7123842;2;1;2;4;37,4850629317935
7123843;1;1;1;2;33,2133928648282
7123843;2;1;2;3;33,2133928648282
7123844;1;1;1;3;46,2297761323137
7123844;2;1;2;4;46,2297761323137
7123853;1;1;1;3;40,9868792453112
7123853;2;1;2;4;40,9868792453112
7123854;1;1;1;3;47,3004537711836
7123854;2;1;2;4;47,3004537711836
7123855;1;1;1;3;52,2625137622219
7123855;2;1;2;4;52,2625137622219
7123858;1;1;1;5;55,9446542467015
7123863;1;1;1;2;42,5260911804836
7123913;1;1;1;3;57,6540762941699
7123916;1;1;1;2;92,3984047675479
7123921;1;1;1;2;73,5614178376826
7123921;2;1;2;5;73,5614178376826
7123921;3;1;3;6;73,5614178376826
7123924;1;1;1;3;61,7319478654841
7123928;1;1;1;3;52,9347441397112
7123928;2;1;2;4;52,9347441397112
7123928;3;1;3;5;52,9347441397112
7123937;1;1;1;3;124,126518081926
7123937;2;1;2;4;124,126518081926
7123944;1;1;1;3;124,126518081926
7123944;2;1;2;4;124,126518081926
7123945;1;1;1;6;119,269167725547
7123946;1;1;1;2;101,069803847895
7123949;1;1;1;3;39,2001610565057
7123951;1;1;1;3;59,0627806203168
7123952;1;1;1;4;45,2206386478912
7123993;1;1;1;2;74,9111755075832
7123993;2;1;2;3;74,9111755075832
7123994;1;1;1;3;97,5201737617018
7123994;2;1;2;4;97,5201737617018
7123994;3;1;3;5;97,5201737617018
7123996;1;1;1;2;84,5573851102251
7123996;2;1;2;3;84,5573851102251
7123996;3;1;3;4;84,5573851102251
7123997;1;1;1;3;78,7410354470537
7123997;2;1;2;4;78,7410354470537
7123999;1;1;1;2;67,5110896358194
7123999;2;1;2;3;67,5110896358194
7123999;3;1;3;4;67,5110896358194
7124011;1;1;1;3;288,508952025152
7124011;2;1;2;4;288,508952025152
7124019;1;1;1;3;228,271684281028
7124019;2;1;2;4;228,271684281028
7124020;1;1;1;4;248,059854768764
7124021;1;1;1;3;238,550300828653
7124021;2;1;2;4;238,550300828653
7124023;1;1;1;3;490,321589603374
7124023;2;1;2;4;490,321589603374
7124023;3;1;3;5;490,321589603374
7124027;1;1;1;2;441,306021330195
7124029;1;1;1;2;463,207332832383
7124029;2;1;2;3;463,207332832383
7124052;1;1;1;3;236,240046767964
7124052;2;1;2;4;236,240046767964
7124053;1;1;1;3;90,9783880252767
7124054;1;1;1;6;51,6237384255527
7124059;1;1;1;2;71,1897416113484
7124063;1;1;1;2;59,7367392177865
7124063;2;1;2;3;59,7367392177865
7124064;1;1;1;6;56,1942435068141
7124072;1;1;1;1;137,342736578629
7124074;1;1;1;1;138,086175236376
7124085;1;1;1;3;118,420800948065
7124085;2;1;2;4;118,420800948065
7124095;1;1;1;2;133,127627167837
7124100;1;1;1;2;259,680815399111
7124100;2;1;2;3;259,680815399111
7124131;1;1;1;1;56,2990077267671
7124145;1;1;1;4;100,147220314244
7124145;2;1;2;5;100,147220314244
7124155;1;1;1;7;15,7754001173469
7124164;1;1;1;2;22,5138436324552
7124164;2;1;2;3;22,5138436324552
7124168;1;1;1;3;20,0423663833435
7124168;2;1;2;4;20,0423663833435
7124171;1;1;1;3;87,0228081515532
7124171;2;1;2;2;87,0228081515532
7124177;1;1;1;3;21,507425190656
7124177;2;1;2;4;21,507425190656
7124179;1;1;1;3;19,8882403485972
7124179;2;1;2;4;19,8882403485972
7124179;3;1;3;8;19,8882403485972
7124187;1;1;1;5;23,9624499437454
7124187;2;1;2;6;23,9624499437454
7124192;1;1;1;3;15,2849826319577
7124192;2;1;2;4;15,2849826319577
