DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P8692S3A1;FEX_C
7126541;1;1;1;1;223,991646980647
7126541;2;1;2;2;223,991646980647
7126547;1;1;1;1;200,731828799454
7126547;2;1;2;2;200,731828799454
7126572;1;1;1;1;73,4391030556283
7126572;2;1;2;2;73,4391030556283
7126655;2;1;2;2;110,613286939518
7126655;1;1;1;1;110,613286939518
7126660;1;1;1;1;719,112326076631
7126660;2;1;2;2;719,112326076631
7126685;1;1;1;1;146,754065224076
7126685;2;1;2;2;146,754065224076
7126742;1;1;1;1;390,965290527929
7126742;2;1;2;2;390,965290527929
7126761;1;1;1;1;463,176197250908
7126761;2;1;2;2;463,176197250908
7126764;1;1;1;1;443,347762174555
7126764;2;1;2;2;443,347762174555
7126783;1;1;1;1;162,264005158917
7126783;2;1;2;2;162,264005158917
7126801;1;1;1;1;133,598223990452
7126801;2;1;2;2;133,598223990452
7126802;1;1;1;3;131,97324926472
7126802;2;1;2;4;131,97324926472
7126822;1;1;1;1;19,3637273811012
7126822;2;1;2;2;19,3637273811012
7126897;1;1;1;1;27,9491488636227
7126897;2;1;2;2;27,9491488636227
7126906;1;1;1;1;187,173303711413
7126906;2;1;2;2;187,173303711413
7126915;1;1;1;1;694,851003913304
7126915;2;1;2;2;694,851003913304
7126945;1;1;1;1;81,6742460238609
7126945;2;1;2;2;81,6742460238609
7126982;1;1;1;1;35,719612574886
7126982;2;1;2;4;35,719612574886
7126989;1;1;1;1;295,347991502142
7126989;2;1;2;2;295,347991502142
7126989;3;1;3;3;295,347991502142
7126989;4;1;4;4;295,347991502142
7126993;1;1;1;1;206,742059029689
7126993;2;1;2;2;206,742059029689
7127033;1;1;1;1;114,573579250204
7127033;2;1;2;2;114,573579250204
7127037;1;1;1;1;68,2677909662084
7127037;2;1;2;2;68,2677909662084
7127042;1;1;1;1;46,5960981930012
7127042;2;1;2;2;46,5960981930012
7127042;3;1;3;3;46,5960981930012
7127045;1;1;1;1;87,1308259066969
7127045;2;1;2;2;87,1308259066969
7127046;1;1;1;1;84,6613619787855
7127046;2;1;2;2;84,6613619787855
7127046;3;1;3;4;84,6613619787855
7127049;1;1;1;1;101,303123679293
7127049;2;1;2;2;101,303123679293
7127049;3;1;3;3;101,303123679293
7127050;1;1;1;1;71,842075672004
7127050;2;1;2;2;71,842075672004
7127050;3;1;3;3;71,842075672004
7127050;4;1;4;4;71,842075672004
7127052;1;1;1;1;100,602446274134
7127052;2;1;2;2;100,602446274134
7127052;3;1;3;3;100,602446274134
7127053;1;1;1;2;73,2083595852236
7127053;2;1;2;1;73,2083595852236
7127053;3;1;3;3;73,2083595852236
7127053;4;1;4;4;73,2083595852236
7127055;1;1;1;1;93,9829511919041
7127055;2;1;2;2;93,9829511919041
7127064;1;1;1;1;91,2010741935004
7127064;2;1;2;2;91,2010741935004
7127064;3;1;3;3;91,2010741935004
7127065;1;1;1;1;101,525809847516
7127065;2;1;2;2;101,525809847516
7127065;3;1;3;3;101,525809847516
7127069;1;1;1;1;56,6701761857044
7127069;2;1;2;2;56,6701761857044
7127069;3;1;3;3;56,6701761857044
7127069;4;1;4;4;56,6701761857044
7127071;3;1;3;3;58,6084724782406
7127071;1;1;1;1;58,6084724782406
7127071;2;1;2;2;58,6084724782406
7127071;4;1;4;4;58,6084724782406
7127114;1;1;1;2;324,679398427416
7127114;2;1;2;1;324,679398427416
7127158;1;1;1;1;136,60632474434
7127158;2;1;2;2;136,60632474434
7127184;1;1;1;1;35,0501572563697
7127184;2;1;2;2;35,0501572563697
7127189;1;1;1;1;275,06028268679
7127189;2;1;2;2;275,06028268679
7127239;1;1;1;1;29,1836707104857
7127239;2;1;2;2;29,1836707104857
7127241;1;1;1;1;29,1836707104857
7127241;2;1;2;2;29,1836707104857
7127264;1;1;1;1;356,95666626633
7127264;2;1;2;2;356,95666626633
7127321;1;1;1;1;7,65696089072053
7127321;2;1;2;2;7,65696089072053
7127368;1;1;1;1;66,2264780788363
7127368;2;1;2;2;66,2264780788363
7127385;1;1;1;1;12,0837470517713
7127385;2;1;2;2;12,0837470517713
7127418;1;1;1;1;446,867693586607
7127418;2;1;2;2;446,867693586607
7127419;1;1;1;1;505,965736949126
7127419;2;1;2;2;505,965736949126
7127429;1;1;1;1;343,54406376596
7127429;2;1;2;2;343,54406376596
7127467;1;1;1;1;267,180000196754
7127467;2;1;2;2;267,180000196754
7127470;1;1;1;1;259,815414421733
7127470;2;1;2;2;259,815414421733
7127475;1;1;1;1;293,670422207378
7127475;2;1;2;2;293,670422207378
7127477;1;1;1;1;258,511520710273
7127477;2;1;2;2;258,511520710273
7127478;1;1;1;1;232,070489364703
7127478;2;1;2;2;232,070489364703
7127478;3;1;3;3;232,070489364703
7127514;1;1;1;1;113,032859013133
7127514;2;1;2;2;113,032859013133
7127515;1;1;1;1;136,691395950556
7127515;2;1;2;2;136,691395950556
7127516;1;1;1;1;148,029226889826
7127516;2;1;2;2;148,029226889826
7127746;1;1;1;1;8,13779749484665
7127746;2;1;2;2;8,13779749484665
7127815;1;1;1;1;52,869279923834
7127815;2;1;2;2;52,869279923834
7127888;1;1;1;1;50,7612349234743
7127888;2;1;2;2;50,7612349234743
7127936;1;1;1;1;85,3970610444024
7127936;2;1;2;2;85,3970610444024
7127984;1;1;1;1;114,378088630943
7127984;2;1;2;2;114,378088630943
7127998;1;1;1;1;251,173517679404
7127998;2;1;2;2;251,173517679404
7128009;1;1;1;1;175,817008027865
7128009;2;1;2;2;175,817008027865
7128070;1;1;1;1;489,538803457204
7128070;2;1;2;2;489,538803457204
7128070;3;1;3;3;489,538803457204
7128076;1;1;1;1;470,605283339934
7128076;2;1;2;2;470,605283339934
7128147;1;1;1;1;178,049950051479
7128147;2;1;2;2;178,049950051479
7128169;1;1;1;1;1051,49646538874
7128169;2;1;2;2;1051,49646538874
7128171;1;1;1;1;931,14100342944
7128171;2;1;2;2;931,14100342944
7128174;1;1;1;1;974,284463576247
7128174;2;1;2;2;974,284463576247
7128248;1;1;1;1;7,98400449858401
7128248;2;1;2;2;7,98400449858401
7128260;1;1;1;1;7,41524663653312
7128260;2;1;2;2;7,41524663653312
7128268;1;1;1;1;7,41524663653312
7128268;2;1;2;2;7,41524663653312
7128282;1;1;1;1;806,431001626734
7128282;2;1;2;2;806,431001626734
7128289;1;1;1;1;637,219669397511
7128289;2;1;2;2;637,219669397511
7128290;1;1;1;1;827,113069510849
7128290;2;1;2;2;827,113069510849
7128293;1;1;1;1;753,622306786975
7128293;2;1;2;2;753,622306786975
7128293;3;1;3;3;753,622306786975
7128293;4;1;4;4;753,622306786975
7128344;1;1;1;2;541,903908861097
7128344;2;1;2;3;541,903908861097
7128352;1;1;1;1;390,965290527929
7128352;2;1;2;2;390,965290527929
7128356;1;1;1;1;403,555854710402
7128356;2;1;2;2;403,555854710402
7128358;1;1;1;1;362,401581010646
7128358;2;1;2;2;362,401581010646
7128359;1;1;1;1;346,49187110621
7128359;2;1;2;2;346,49187110621
7128364;1;1;1;1;962,885146057636
7128364;2;1;2;2;962,885146057636
7128370;1;1;1;1;39,9592296834749
7128370;2;1;2;2;39,9592296834749
7128378;1;1;1;1;963,205754232502
7128378;2;1;2;2;963,205754232502
7128389;1;1;1;1;1124,53598132404
7128389;2;1;2;2;1124,53598132404
7128390;1;1;1;1;444,215703903568
7128390;2;1;2;2;444,215703903568
7128485;1;1;1;1;39,1273492765488
7128485;2;1;2;2;39,1273492765488
7128486;1;1;1;1;38,7995355845344
7128486;2;1;2;2;38,7995355845344
7128594;1;1;1;1;146,464818168659
7128594;2;1;2;2;146,464818168659
7128625;1;1;1;1;190,078890468327
7128625;2;1;2;2;190,078890468327
7128674;1;1;1;1;88,2075252536338
7128674;2;1;2;2;88,2075252536338
7128688;1;1;1;1;207,276973296984
7128688;2;1;2;2;207,276973296984
7128701;1;1;1;1;183,909953136041
7128701;2;1;2;2;183,909953136041
7128729;1;1;1;1;135,274711097204
7128729;2;1;2;2;135,274711097204
7128754;1;1;1;1;180,60289319442
7128754;2;1;2;2;180,60289319442
7128756;1;1;1;1;175,467200136852
7128756;2;1;2;2;175,467200136852
7128807;1;1;1;1;21,3345817779004
7128807;2;1;2;2;21,3345817779004
7128880;1;1;1;1;227,132736159954
7128880;2;1;2;2;227,132736159954
7128897;1;1;1;1;254,379391166809
7128897;2;1;2;2;254,379391166809
7128906;1;1;1;1;191,688788172858
7128906;2;1;2;2;191,688788172858
7128910;1;1;1;1;630,684084968186
7128910;2;1;2;2;630,684084968186
7128911;1;1;1;1;859,623402279337
7128911;2;1;2;2;859,623402279337
7128943;1;1;1;1;25,364918458072
7128943;2;1;2;2;25,364918458072
7128952;1;1;1;1;28,2553538133864
7128952;2;1;2;2;28,2553538133864
7128972;1;1;1;1;302,071538068517
7128972;2;1;2;2;302,071538068517
7128989;1;1;1;1;238,489115593152
7128989;2;1;2;2;238,489115593152
7128999;1;1;1;1;221,220482196506
7128999;2;1;2;2;221,220482196506
7129006;1;1;1;1;240,127427512763
7129006;2;1;2;2;240,127427512763
7129022;2;1;2;2;240,265557106915
7129022;1;1;1;1;240,265557106915
7129081;1;1;1;1;176,390492569286
7129081;2;1;2;2;176,390492569286
7129129;1;1;1;1;81,9165757850599
